Row Labels,Sum of Sighting
AB,6
AL,1007
AR,515
AZ,675
BC,1
BCN,20
CA,1692
CMX,5
CO,251
COA,86
CT,1276
DC,15
DE,38
DUR,3
FL,3321
GA,1695
GUA,45
HI,6
IA,427
ID,21
IL,2681
IN,1565
JAL,8
KS,10838
KY,566
LA,716
MA,1045
MB,53
MD,789
ME,1117
MI,2952
MIC,1
Miquelon-Langlade,1
MN,3133
MO,1701
MS,343
MT,14
NB,32
NC,1503
ND,15
NE,291
NH,503
NJ,1202
NL,2
NLE,20
NM,596
NS,141
NV,18
NY,2296
OH,2495
OK,12784
ON,5079
OR,42
PA,7237
PE,1
QC,257
QUE,40
RI,634
SC,817
SD,77
SIN,3
SK,35
SON,1000
Spanish Wells,20
St Croix,8
St John,1
TAM,14
TN,578
TX,13429
UT,105
VA,1298
VT,179
WA,2
WI,3123
WV,226
WY,14
(blank),5
Grand Total,94750
