Average of Concentration,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,"1,2,4-Triazole",1-Naphthol,"2,4-D","2,4-dimethylphenyl formamide (2,4-DMPF)","2,6-dichlorobenzamide","2,6-DIPN",3-Hydroxycarbofuran,4-Hydroxydiphenylamine,5-Hydroxythiabendazole,Abamectin,Acephate,Acequinocyl,Acetamiprid,Acetochlor,Acibenzolar S methyl,Afidopyropen ,Alachlor,Aldicarb,Aldicarb sulfone,Aldicarb sulfoxide,Aldrin,Allethrin,Ametoctradin,Ametryn,Aminomethylphosphonic acid (AMPA),Anilazine,Asulam,Atrazine,Azadirachtin A,Azadirachtin B,Azinphos methyl,Azinphos methyl oxygen analog,Azoxystrobin,Benalaxyl,Bendiocarb,Benomyl,Bensulide,Bensulide oxygen analog,Benzovindiflupyr,BHC alpha,BHC beta,BHC delta,Bifenazate,Bifenthrin,Bitertanol,Boscalid,Bromacil,Bupirimate,Buprofezin,Captan,Carbaryl,Carbendazim (MBC),Carbofuran,Carboxin,Carfentrazone ethyl,Chlorantraniliprole,Chlordane cis,Chlordane trans,Chlordanes Total,Chlorfenapyr,Chlorothalonil,Chlorpropham,Chlorpyrifos,Chlorpyrifos methyl,Chlorpyrifos oxygen analog,Clethodim,Clethodim sulfone,Clethodim sulfoxide,Clodinafop propargyl,Clofentezine,Clomazone,Clopyralid,Clothianidin,Coumaphos,Cyanazine,Cyantraniliprole,Cyazofamid,Cyclaniliprole,Cycloate,Cyflufenamid,Cyflumetofen,Cyfluthrin,"Cyhalothrin, Lambda","Cyhalothrin, Lambda epimer R157836","Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",Cymoxanil,Cypermethrin,Cyphenothrin,Cyproconazole,Cyprodinil,Cyromazine,DCPA,DDD (TDE),"DDD o,p'","DDD p,p'",DDE,"DDE o,p'","DDE p,p'",DDT,"DDT o,p'","DDT p,p'",DEF (Tribufos),Deltamethrin  (includes parent Tralomethrin),Demeton-S sulfone,Desethyl atrazine,Desmedipham,Diazinon,Diazinon oxygen analog,Dichlobenil,Dichlorvos (DDVP),Diclofop methyl,Dicloran,"Dicofol o,p'","Dicofol p,p'",Dicofol Total,Dicrotophos,Dieldrin,Difenoconazole,Diflubenzuron,Diflufenzopyr,Dimethenamid,Dimethoate,Dimethomorph,Dinotefuran,Diphenamid,Diphenylamine (DPA),Disulfoton,Disulfoton oxygen analog,Disulfoton sulfone,Disulfoton sulfone oxygen analog,Disulfoton sulfoxide,Disulfoton sulfoxide oxygen analog,Diuron,Dodine,Doramectin,Emamectin benzoate,Endosulfan I,Endosulfan II,Endosulfan sulfate,Endosulfans Total,Endrin,Epoxiconazole,EPTC,Esfenvalerate,Esfenvalerate+Fenvalerate Total,Ethaboxam,Ethalfluralin,Ethephon,Ethion,Ethion mono oxon,Ethofumesate,Ethoprop,Ethoxyquin,Etofenprox,Etoxazole,Etridiazole,Famoxadone,Fenamidone,Fenamiphos,Fenamiphos sulfone,Fenamiphos sulfoxide,Fenarimol,Fenazaquin,Fenbuconazole,Fenbutatin oxide,Fenhexamid,Fenobucarb (BPMC),Fenpropathrin,Fenpropidin,Fenpropimorph,Fenpyrazamine,Fenpyroximate,Fenthion,Fenvalerate,Fipronil,Fipronil sulfone (MB46136),Flonicamid,Fluazifop butyl,Fluazinam,Flubendiamide,Fludioxonil,Flufenacet,Flumioxazin,Fluopicolide,Fluopyram,Fluoxastrobin,Flupyradifurone,Fluridone,Flusilazole,Flutianil,Flutolanil,Flutriafol,Fluvalinate,Fluxapyroxad,Folpet,Fonofos,Forchlorfenuron,Formetanate hydrochloride,Glyphosate,Heptachlor,Heptachlor epoxide,Heptachlor epoxide cis,Hexachlorobenzene (HCB),Hexaconazole,Hexythiazox,Hydroprene,Hydroxy Acequinocyl,Imazalil,Imidacloprid,Imidacloprid desnitro,Imidacloprid olefin,Imidacloprid urea,Imiprothrin,Indaziflam,Indoxacarb,Ipconazole,Iprobenfos  (IBP),Iprodione,Iprodione metabolite isomer,Isofetamid,Isoprothiolane,Isopyrazam,Ivermectin,Kresoxim-methyl,Lambda cyhalothrin R ester,Lambda cyhalothrin S ester,Lambda cyhalothrin total,Lindane (BHC gamma),Linuron,Lufenuron,Malathion,Malathion oxygen analog,Mandipropamid,Mefentrifluconazole,Metalaxyl/Mefenoxam,Metaldehyde,Metconazole,Methamidophos,Methidathion,Methiocarb,Methomyl,Methoprene,Methoxychlor olefin,"Methoxychlor p,p'",Methoxychlor Total,Methoxyfenozide,Metolachlor,Metolachlor oxanilic acid (OA),Metrafenone,Metribuzin,Mevinphos E,Mevinphos Total,Mevinphos Z,MGK-264,Mirex,Molinate,Monocrotophos,Myclobutanil,Naled,Napropamide,Nonachlor cis,Nonachlor trans,Norflurazon,Norflurazon desmethyl,Novaluron,Omethoate,O-Phenylphenol,Oryzalin,Oxadiazon,Oxadixyl,Oxamyl,Oxamyl oxime,Oxathiapiprolin,Oxychlordane,Oxydemeton methyl,Oxydemeton methyl sulfone,Oxyfluorfen,Paclobutrazol,Parathion ethyl,Parathion methyl,Parathion methyl oxygen analog,Parathion oxygen analog,Penconazole,Pendimethalin,Pentachloroaniline (PCA),Pentachlorobenzene (PCB),Pentachlorophenyl methyl sulfide,Penthiopyrad,Permethrin cis,Permethrin Total,Permethrin trans,Phenmedipham,Phenothrin,Phenthoate,Phorate,Phorate oxygen analog sulfone,Phorate sulfone,Phorate sulfoxide,Phosalone,Phosmet,Phosmet oxygen analog,Phosphamidon,Piperonyl butoxide,Pirimicarb,Pirimiphos methyl,Prallethrin,Prochloraz,Procymidone,Profenofos,Prometon,Prometryn,Pronamide,Propachlor,Propamocarb,Propamocarb hydrochloride,Propanil,Propargite,Propetamphos,Propiconazole,Propiconazole I,Propiconazole II,Propoxur,Proquinazid,Prothioconazole desthio,Pydiflumetofen,Pymetrozine,Pyraclostrobin,Pyrethrins,Pyridaben,Pyridalyl,Pyrifluquinazon,Pyrimethanil,Pyriofenone,Pyriproxyfen,Quinalphos,Quinoxyfen,Quintozene (PCNB),Quizalofop ethyl,Resmethrin,RH 9129 (fenbuconazole metab.),RH 9130 (fenbuconazole metab.),SD-31723,SD-33608,Sethoxydim,Sethoxydim sulfone,Sethoxydim sulfoxide,Simazine,Spinetoram,Spinosad,Spinosad A,Spinosad D,Spirodiclofen,Spiromesifen,Spiromesifen alcohol,Spiromesifen Total (parent + enol metabolite),Spirotetramat,Spiroxamine,Sulfentrazone,Sulfoxaflor,Tebuconazole,Tebufenozide,Tebufenpyrad,Tecnazene,Terbacil,Terbufos sulfone,Terbufos sulfoxide,Terbuthylazine,Terbutryn,Tetrachlorvinphos,Tetraconazole,Tetradifon,Tetrahydrophthalimide (THPI),Tetramethrin,Thiabendazole,Thiacloprid,Thiamethoxam,Thiobencarb,Thiodicarb,Thiophanate methyl,Thymol,Tolfenpyrad,Tolylfluanid,Toxaphene,Tri Allate,Triadimefon,Triadimenol,Triazole acetic acid (TAA),Triazole alanine (TA),Triazophos,Trichlorfon,Tricyclazole,Trifloxystrobin,Triflumizole,Trifluralin,Triforine,Triticonazole,Uniconazole,Vinclozolin,Vinclozolin metabolite E,Zoxamide,Grand Total
AL,,,,,,,,,,,1.121E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.128E-09,,,,,,,5E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36607E-08
AR,,2.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06667E-09
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98E-08,,,,,,,,,,,,,,,,2.03914E-07,,,9.1E-09,,,,,,,,,,,,,,,,2.2E-09,,,,,,,,,2.8E-09,,,,,,,,,,,,,1.52E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07636E-07
CA,0.000000005,2.50697E-07,4.79231E-08,1.49365E-08,,0.000000013,4.8989E-09,,4.24365E-09,0.000000068,8.8159E-08,2.965E-07,3.03618E-08,,6.075E-08,,0.00000107,,3.97778E-08,3.6375E-08,,0.000000017,1.30159E-06,,,0.000000335,,5.76364E-09,0.000000027,,5.79077E-08,0.00000002,8.68641E-08,9.6E-09,0.000000017,3.24424E-07,5.55714E-09,7.53043E-09,1.95E-09,0.000000001,,,9.34596E-08,1.95488E-08,,5.88195E-08,,2.4E-09,2.21161E-08,3.32899E-07,1.20172E-07,2.51347E-08,8.10087E-08,0.000000017,0.000000005,8.09631E-08,3.84054E-09,3.4425E-09,,3.86621E-08,1.04248E-07,1.70533E-06,2.7804E-08,2.67946E-08,2.2E-09,,0.000000134,0.000000167,,2.16318E-08,,1.3972E-07,2.38693E-08,2.65217E-09,,1.28838E-07,5.17827E-07,,,1.08554E-08,5.4734E-08,1.49294E-07,2.20383E-08,1.58786E-08,1.86243E-08,1.03867E-07,3.37657E-07,3.87E-08,,1.50256E-07,2.86356E-08,1.91151E-08,1.325E-08,4.83548E-09,1.54E-08,1.79483E-08,2.54706E-09,1.16247E-08,1.60377E-08,2.5269E-09,5.07143E-09,1.45E-09,2.32262E-08,0.000000042,,,2.65205E-08,0.000000005,,4.73614E-08,,2.93232E-07,3.3576E-08,1.24747E-07,2.99688E-07,,9.86333E-09,3.4096E-08,2.78023E-08,,,4.16716E-08,2.65242E-07,3.63762E-08,,3.16088E-07,,0.000000005,1.14286E-08,,,4.3375E-09,4.91259E-08,1.61E-08,,1.48182E-08,2.72383E-08,2.8986E-08,2.75496E-08,5.43584E-08,1.20969E-08,2.8375E-09,7.76056E-08,3.46281E-08,2.61075E-08,,,1.60549E-07,1.72E-08,,,8.81429E-09,1.35236E-07,1.995E-08,1.28863E-08,0.000000017,6.16054E-07,3.6269E-07,0.000000007,0.000000013,2.075E-08,4.475E-08,3.67556E-08,3.51187E-08,1.64971E-07,1.83133E-07,,1.03121E-07,1.7E-09,7.04286E-09,2.4E-09,2.27485E-08,,2.10559E-08,0.000000003,,1.59493E-07,,,4.236E-08,3.89198E-07,,0.000000006,1.48864E-07,4.6997E-08,7.425E-09,7.60949E-08,2.27857E-09,,0.000000008,1.2975E-08,3.14212E-08,2.64783E-09,3.95122E-08,2.75143E-07,,5.88333E-09,6.99228E-08,,,8.26154E-09,,3.0098E-10,1.0644E-07,3.32089E-08,0.00000001,2.8E-09,9.21747E-08,2.68751E-08,2.82263E-09,1.73333E-09,2.94242E-09,1.02533E-07,,9.72893E-08,0.000000055,,5.87401E-07,3.66302E-07,6.14857E-08,2.10727E-08,,0.000000002,7.3625E-09,,,1.82857E-07,0.000000003,3.94247E-08,,4.02641E-08,5.97826E-09,5.23167E-07,7.075E-08,4.2501E-08,,,3.85252E-08,7.15556E-09,,1.70247E-07,3.46333E-08,,4.135E-08,2.00076E-07,1.14855E-07,5.7E-09,,3.02857E-08,6.68769E-08,,4.78065E-08,,2.43241E-08,1.7E-09,,7.12222E-08,3.96604E-08,,4.435E-08,1.25E-09,2.95E-09,3.63333E-09,1.48923E-08,2.33561E-08,2.71389E-08,1.99253E-07,0.000000021,3.675E-09,3.8381E-08,6.48902E-08,8.46448E-08,5.40667E-08,,4.62926E-08,2.49125E-08,2.4037E-09,1.76667E-08,0.000000024,3.9434E-08,,,1.65E-08,9.52315E-09,6.48585E-09,6.20488E-09,6.9E-09,1.07725E-07,3.34621E-07,1.28514E-06,3.67311E-07,,,,,,1.41071E-08,6.525E-09,2.46667E-08,1.00601E-07,1.22429E-08,0.000000024,1.08836E-07,1.39111E-08,4.15E-09,1.15184E-07,0.000000055,0.00000024,0.000000006,,9.84778E-09,7.58493E-09,,1.03261E-07,6.53543E-07,,2.46265E-07,,9.4373E-08,3.29848E-08,4.92045E-08,,5.7E-09,,4.96892E-08,1.456E-08,5.744E-08,1.635E-07,2.27063E-08,,,4.75452E-07,3.17286E-08,1.22248E-08,1.4E-09,1.43806E-08,1.52978E-08,,0.000000029,0.000000041,0.00000001,0.000000012,0.00000001,,,9.33333E-09,3.33333E-09,3.00291E-08,3.62071E-08,3.30135E-08,1.39832E-08,3.29321E-08,4.21327E-08,1.74054E-08,1.25846E-08,2.09684E-08,4.87778E-09,,3.31538E-08,8.677E-08,2.22188E-08,0.00000001,,,,2.4E-09,0.000000011,2.58E-08,,1.66278E-08,0.00000001,3.27573E-07,0.00000055,2.95686E-07,2.39117E-08,1.76581E-08,1.7E-09,,2.6338E-08,4.1125E-08,4.73284E-08,,2.02153E-07,,4.5875E-08,5.9425E-08,2.35841E-08,3.32693E-08,1.92E-08,4.4E-09,4.18364E-08,2.18197E-08,4.44495E-08,4.70648E-08,0.000000098,0.000000029,,1.08726E-07,,,1.63806E-07
CO,,1.17769E-07,7.66667E-09,1.5775E-08,,,1.5275E-08,,,,1.23661E-07,2.525E-07,3.18902E-08,,,,0.00000046,,2.66667E-09,9.71429E-09,,,9.05944E-07,,,0.00000019,,2.45E-09,0.000000032,,5.97718E-08,,9.62925E-08,,,4.66226E-07,0.000000046,0.000000031,,1.3E-09,,,9.83208E-08,2.31055E-08,,7.59977E-08,0.000000002,,3.23989E-08,4.24024E-07,7.43098E-08,2.99661E-08,3.226E-08,,,1.32314E-07,2.1E-09,2.2E-09,,3.79133E-08,1.3578E-07,1.97618E-06,2.46986E-08,2.68063E-08,,,,,,,,1.312E-07,3.91027E-08,3.2E-09,,1.1725E-07,6.80333E-07,,,1.57929E-08,3.04364E-08,1.5648E-07,1.18719E-08,,2.51697E-08,0.000000098,3.84522E-07,,,1.74763E-07,8.63447E-08,1.58704E-08,,3.15556E-09,1.7445E-08,2.42667E-08,4.53333E-09,9.39757E-09,1.1375E-08,2.18214E-09,3.14375E-09,,1.99429E-08,,,,9.4E-09,,,2.6175E-08,,2.59113E-07,3.26857E-08,1.12711E-07,0.00000064,,1.13516E-08,2.78898E-08,9.61E-09,,,8.46952E-08,3.04507E-07,3.90623E-08,,3.29955E-07,,,0.000000015,,0.000000008,,1.50838E-07,3.33E-08,,3.3E-09,2.65562E-08,2.27445E-08,2.59943E-08,5.47647E-08,0.000000007,1.7E-09,5.61667E-08,2.34167E-08,1.95292E-08,,,1.7125E-07,0.000000005,,,0.000000002,1.73454E-07,2.5E-09,8.30857E-09,,1.17427E-06,3.54281E-07,,,,0.000000005,4.945E-08,5.58049E-08,1.74829E-07,1.75706E-07,,1.15666E-07,,0.000000005,,2.55074E-08,,1.9875E-08,0.000000014,7.7E-09,1.80783E-07,,,1.62286E-08,3.61289E-07,,9.3E-09,2.09435E-07,2.89462E-08,2.93E-08,9.13095E-08,,,,6.6E-09,4.43167E-08,1.4E-09,2.63649E-08,0.000000025,,,4.37811E-08,,,2.05E-09,,2.11111E-10,,4.17149E-08,,,8.78E-08,7.90467E-08,2.8E-09,2.15E-08,2.7E-09,,,1.60114E-07,,,7.16223E-07,2.54029E-07,2.7675E-08,1.82714E-08,,,9.97333E-09,,,,,4.15102E-08,,3.79068E-08,3.55455E-09,6.08868E-07,,2.89475E-08,,,3.91304E-08,8.33333E-09,,1.47311E-07,0.000000025,,,2.07471E-07,1.59416E-07,2.83333E-09,,2.20875E-08,1.36333E-08,,0.00000001,,2.135E-08,,,,3.32067E-08,,,,,,1.12333E-08,2.34344E-08,6.47162E-08,5.72874E-08,,,0.000000025,4.76882E-08,6.42667E-08,,,8.21667E-09,0.000000025,,,0.000000009,5.41053E-08,,0.000000003,,8.865E-09,3.96364E-09,,,3.35254E-08,2.6349E-07,1.47034E-06,2.70456E-07,,,,,,,,0.000000017,1.07109E-07,0.000000007,0.000000003,6.56136E-08,,7.36667E-09,6.64E-08,,0.000000021,2.65E-09,,4.35818E-08,8.78571E-09,,1.59188E-07,2.68083E-07,,2.29417E-07,,9.85128E-08,,,,,,3.48E-08,1.885E-08,4.97021E-08,0.00000027,1.73667E-08,,,5.20371E-07,,1.89762E-08,,1.46377E-08,6.33E-09,,3.75E-08,,,0.000000012,,,,,1.37733E-07,4.15663E-08,6.18339E-08,2.85358E-08,1.47938E-08,3.12123E-08,3.5908E-08,4.13643E-08,6.645E-08,2.29244E-08,1.8E-09,,4.78105E-08,9.62503E-08,5.32143E-08,,,,,,,,,2.06029E-08,0.000000027,2.02838E-07,,2.61531E-07,1.25152E-08,1.59671E-08,1.85E-08,,5.24529E-08,4.45E-08,2.15313E-08,,8.898E-08,,9.28E-09,1.6275E-08,1.63278E-08,3.4663E-08,8.38E-09,,1.83167E-08,1.61345E-08,4.48262E-08,3.03778E-08,0.000000017,,3.3E-09,2.2228E-07,,0.000000073,1.71958E-07
DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.07E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.395E-08
FL,0.000000005,2.24769E-07,0.000000022,2.37321E-08,,2.38667E-07,4.78889E-09,,9.83333E-09,,1.77254E-07,8.32909E-07,5.95911E-08,,,1.7E-09,0.00000048,,2.16E-08,7.52295E-08,,2.38571E-08,8.35092E-07,,,,,7.5E-09,,,6.31215E-08,2.7E-09,1.0702E-07,,0.000000017,2.51896E-07,4.5E-09,0.000000005,3.32E-09,1.2E-09,5.23333E-09,,1.12583E-07,3.58154E-08,,1.15338E-07,0.000000002,,5.2268E-08,5.04423E-07,1.0969E-07,4.17287E-08,1.592E-08,,5.16667E-09,7.57379E-08,8.74E-09,4.425E-09,1.67E-08,4.91483E-08,1.36056E-07,1.50957E-06,2.45728E-08,2.82351E-08,,,,4.865E-08,,1.34833E-08,1.4E-09,1.37311E-07,3.49142E-08,1.475E-09,,1.2089E-07,2.41474E-07,1.66E-08,0.000000001,1.23636E-08,4.085E-08,1.64795E-07,1.20364E-08,0.00000001,2.56976E-08,7.65E-08,3.43884E-07,0.000000102,0.000000017,1.41625E-07,5.0602E-08,1.71449E-08,0.000000005,3.19688E-09,1.40352E-08,2.29123E-08,2.22857E-09,1.11062E-08,0.000000015,2.935E-09,4.56364E-09,1.8E-09,2.32835E-08,,,,1.64414E-08,,,7.10227E-08,1.1E-09,3.91141E-07,5.1386E-08,1.09816E-07,2.8385E-07,,1.29941E-08,3.72384E-08,2.66235E-08,,,8.24101E-08,2.19954E-07,5.93705E-08,,3.18845E-07,,,3.5E-09,,,3.4E-09,4.03148E-08,2.02E-08,,1.875E-08,2.2192E-08,2.06461E-08,3.36349E-08,8.70667E-08,4.88E-09,2.22E-09,1.735E-08,2.55056E-08,4.32069E-08,2.34333E-08,,3.21541E-07,7.18167E-08,,,5.71667E-09,1.56723E-07,7.075E-08,1.035E-08,6.3E-09,4.70346E-07,5.28865E-07,,0.000000006,8.775E-09,6.475E-08,1.31438E-07,2.53567E-08,1.17929E-07,1.85537E-07,5.9E-09,1.13603E-07,1.7E-09,6.5E-09,,2.36036E-08,,3.234E-08,2.67638E-07,,1.74824E-07,,,7.55859E-08,4.17737E-07,,8.43333E-09,2.80713E-07,2.54786E-08,1.323E-08,1.71329E-07,4.45E-09,1.7E-09,5.1E-09,5.55E-09,1.96065E-08,2.332E-09,2.93831E-08,3.14E-08,,3.3E-09,6.02888E-08,,,5.22857E-09,0.000000007,5.93091E-08,0.00000001,4.01295E-08,2.18E-08,,9.58021E-08,3.09686E-08,2.3E-09,1.6E-09,1.90333E-08,8.93E-08,0.000000003,8.19479E-08,,,6.71467E-07,3.89578E-07,1.446E-08,3.425E-08,,,1.18091E-08,,,,0.000000006,3.36053E-08,,3.09392E-08,5.19167E-09,6.65152E-07,1.7E-09,2.73282E-08,,,5.44381E-08,1.11176E-08,,1.38894E-07,0.000000043,8.63333E-09,1.45727E-08,1.84833E-07,1.26003E-07,6.01613E-09,,1.93231E-08,1.73438E-08,,2.375E-08,,1.96891E-08,,,0.000000023,3.58035E-08,,5.05E-08,1.4E-09,1.4E-09,,7.71429E-09,3.36779E-08,3.5059E-08,3.08475E-07,,3.05E-09,,6.35605E-08,1.09412E-07,3.24E-09,0.000000011,1.53091E-08,8.14286E-09,1.7E-09,,8.35714E-09,2.232E-08,0.00000001,,6.7E-09,7.16452E-09,6.20526E-09,9.056E-09,8.28E-09,6.59409E-08,3.08559E-07,1.86123E-06,3.09576E-07,1.112E-07,0.000000029,,,,5.22857E-08,5.2625E-08,0.000000002,1.0773E-07,6.58063E-08,0.000000055,6.54724E-08,,7.06667E-09,6.48529E-08,,8.25E-08,3.33495E-07,,1.53536E-08,5.325E-09,,9.45469E-08,1.76777E-07,,3.13495E-07,5.23E-08,8.32846E-08,,,,,2.525E-09,3.0781E-08,1.06167E-08,5.75507E-08,,1.83613E-08,0.00000064,,4.50034E-07,2.4175E-08,2.05533E-08,,1.14824E-08,5.49778E-09,,0.000000013,,,,,,,,6.8875E-09,2.87469E-08,2.81479E-08,4.89368E-08,1.93676E-08,3.56262E-08,2.97016E-08,2.49957E-08,3.656E-08,1.6044E-08,5.21667E-09,,3.1525E-07,1.22525E-07,4.5007E-08,,,,,,,,6.7E-09,1.6097E-08,,2.20841E-07,,2.81193E-07,2.5176E-08,2.13833E-08,,0.000000003,3.33958E-08,5.53333E-08,8.00482E-08,,9.58909E-08,,1.14269E-08,1.828E-08,3.76771E-08,4.70385E-08,0.000000002,,1.09663E-07,1.57178E-08,2.54348E-08,2.98779E-08,,,,1.03143E-07,,2.704E-08,1.83617E-07
GA,,,,,,,,,,,,,,,,,,,4.3E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45E-09,,,,,,,,,2.816E-08,,,,,,,,,,4.8E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9E-09,,,,,,,,,,,,,,0.000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2136E-09
IA,,0.000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35714E-09,,,,,,,,,,7.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8E-09,,,,,,,,,,,,,,,,,,,8.1E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91579E-09
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48889E-09,,,,,,,,,,,,,,,,,,,2.2E-09,,,,,,,,,,,,,,,,,,,,,,0.000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05E-09,,1.5E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29333E-09
