Pesticide,2021 National Concentration avg,2021 std dev,2021 bar,2021 FL,2021 TX,,2021 FL,2022 FL,,2021 TX,2022 TX
1-Naphthol,0.1475,#DIV/0!,#DIV/0!,,,,,0,,,0
"2,6-DIPN",0,#DIV/0!,#DIV/0!,0,0,,0,0.238666667,,0,0.105
Abamectin,0.0067,#DIV/0!,#DIV/0!,,,,,0,,,0
Acephate,0.261156322,0.369330812,0.630487134,0.241360417,0.077974242,,0.241360417,0.078,,0.077974242,0.080920833
Acetamiprid,0.021228594,0.030021766,0.05125036,0.013359697,0.013796804,,0.013359697,0.016942857,,0.013796804,0.021504074
Afidopyropen ,0.001233333,0.001744197,0.00297753,0.000566667,0,,0.000566667,0,,0,0.000566667
Ametoctradin,0.005015,0.007092281,0.012107281,0.003411111,0.0044,,0.003411111,0.002266667,,0.0044,0.001096296
Ametryn,0.0038,#DIV/0!,#DIV/0!,,0.0038,,,0,,0.0038,0
Aminomethylphosphonic acid (AMPA),0,#DIV/0!,#DIV/0!,0,0,,0,,,0,
Atrazine,0.0015,0.00212132,0.00362132,0.000933333,0.000433333,,0.000933333,0.002933333,,0.000433333,0.0008
Azoxystrobin,0.014871768,0.021031855,0.035903623,0.011095531,0.0088154,,0.011095531,0.011910884,,0.0088154,0.03950292
Bensulide,0.0017,#DIV/0!,#DIV/0!,,,,,0,,,0
Benzovindiflupyr,0.001718182,0.002429876,0.004148058,0.001,0,,0.001,0,,0,0
Bifenazate,0.010423016,0.01474037,0.025163386,0.003733333,0.00615,,0.003733333,0.004254762,,0.00615,0.00496
Bifenthrin,0.015200145,0.021496251,0.036696396,0.011042553,0.006937681,,0.011042553,0.008055556,,0.006937681,0.00854359
Bitertanol,0,#DIV/0!,#DIV/0!,0,0,,0,,,0,
Boscalid,0.053566162,0.075753992,0.129320154,0.042471986,0.031758871,,0.042471986,0.040356884,,0.031758871,0.028016176
Buprofezin,0.025530846,0.036106068,0.061636914,0.018815789,0.013882906,,0.018815789,0.029464865,,0.013882906,0.015652941
Captan,0.099055556,0.14008571,0.239141266,0.051555556,0.064444444,,0.051555556,0,,0.064444444,0.043333333
Carbaryl,0.029889764,0.042270509,0.072160273,0.008844444,0.017751667,,0.008844444,0.012888889,,0.017751667,0.001283333
Carbendazim (MBC),0.015359356,0.02172141,0.037080766,0.010236111,0.008316162,,0.010236111,0.009258642,,0.008316162,0.009794872
Chlorantraniliprole,0.010278072,0.014535389,0.024813461,0.006164063,0.006054487,,0.006164063,0.006240437,,0.006054487,0.007072917
Chlordane cis,0.002093333,0.00296042,0.005053754,0.006666667,0.001766667,,0.006666667,0,,0.001766667,0
Chlordane trans,0.002055,0.002906209,0.004961209,0.001933333,0,,0.001933333,0,,0,0
Chlorfenapyr,0.015758,0.022285177,0.038043177,0.020125,0.006494872,,0.020125,0.0105,,0.006494872,0.004716667
Chlorothalonil,0.030880029,0.043670956,0.074550985,0.01548869,0.012911111,,0.01548869,0.044279167,,0.012911111,0.036251852
Chlorpropham,0.002342233,0.003312418,0.005654651,0.001697436,0.001535897,,0.001697436,0.855233929,,0.001535897,0.766945992
Chlorpyrifos,0.016602778,0.023479874,0.040082651,0.0075,0.011322222,,0.0075,0.001,,0.011322222,0.017719048
Chlorpyrifos oxygen analog,0.0031,#DIV/0!,#DIV/0!,,,,,0,,,0
Clethodim sulfoxide,0,#DIV/0!,#DIV/0!,0,0,,0,0.064,,0,
Clofentezine,0.0079,#DIV/0!,#DIV/0!,,0.0108,,,0,,0.0108,0
Clomazone,0.0014,#DIV/0!,#DIV/0!,0.0014,,,0.0014,0,,,0
Clothianidin,0.009169033,0.012966971,0.022136004,0.007190598,0.005986243,,0.007190598,0.019761111,,0.005986243,0.010321569
Cyantraniliprole,0.019066129,0.026963578,0.046029707,0.0278375,0.01902,,0.0278375,0.007813333,,0.01902,0.002943137
Cyazofamid,0.0087,0.012303658,0.021003658,0.006555556,0.006666667,,0.006555556,0.005666667,,0.006666667,0
Cyflufenamid,0.004880859,0.006902578,0.011783437,0.003698851,0.00362037,,0.003698851,0.004128889,,0.00362037,0.004539286
Cyflumetofen,0.007091489,0.01002888,0.01712037,0.004711111,0.00493,,0.004711111,0.003783333,,0.00493,0.004535897
Cyfluthrin,0.012444248,0.017598824,0.030043072,0.008286111,0.011401961,,0.008286111,0.0079,,0.011401961,0.009789474
"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",0.00802819,0.011353575,0.019381765,0.005335556,0.00466859,,0.005335556,0.002541667,,0.00466859,0.005121154
