Date,State,Town,Longitude,Latitude,Sighting
07/27/17,NY,Indian Lake,-74.3,43.8,1
07/26/17,TX,Belton,-97.6,31.2,1
07/25/17,ON,Puslinch,-80.2,43.5,1
07/24/17,ON,Waterloo,-80.5,43.5,1
07/22/17,ME,Harpswell,-70,43.8,1
07/21/17,NH,Langdon,-70.1,43.8,1
07/21/17,VA,Leesburg,-77.6,39.1,1
07/20/17,ME,Windsor,-69.6,44.3,1
07/20/17,CO,Denver,-104.9,39.7,1
07/19/17,NS,Blockhouse,-64.5,44.4,1
07/19/17,NS,Blockhouse,-64.5,44.4,1
07/19/17,ME,Harpswell,-70,43.8,1
07/18/17,MB,Hazelridge,-96.7,49.9,1
07/16/17,NY,Chester,-74.3,41.4,1
07/15/17,ON,Smithville,-79.6,43,1
07/15/17,ON,Tiny,-80,44.7,1
07/14/17,MI,Ontonagon,-89.3,46.9,1
07/14/17,ON,Kitchener,-80.4,43.4,1
07/13/17,TX,McKinney,-96.6,33.2,1
07/10/17,NY,Indian Lake,-74.3,43.8,1
07/10/17,OH,Yellow Springs,-83.9,39.8,1
07/10/17,CA,Groveland,-120.2,37.8,1
07/08/17,IN,Hammond,-87.5,41.6,1
07/08/17,KS,Eskridge,-96.2,38.9,1
07/08/17,WV,Great Cacapon,-78.3,39.5,1
07/05/17,IL,Chicago,-87.6,41.9,1
07/04/17,NY,Indian Lake,-74.3,43.8,1
07/04/17,IN,Highland,-87.5,41.6,1
07/02/17,NAY,Tepic,-104.9,21.5,1
07/02/17,NV,Sparks,-119.7,39.6,1
07/01/17,NJ,Jackson,-74.4,40.1,1
07/01/17,TX,Spring,-95.4,30.1,1
07/01/17,IN,North Liberty,-86.3,41.5,1
07/01/17,ON,Wilno,-77.5,45.5,1
06/30/17,WI,Tomahawk,-89.7,45.5,1
06/30/17,VA,Madison,-78.3,38.4,1
06/28/17,OH,Dayton,-84,39.8,1
06/27/17,NJ,Riverdale,-74.3,41,1
06/26/17,ON,Whitby,-78.9,43.9,1
06/25/17,OH,Peebles,-83.4,39,1
06/23/17,ON,Whitby,-78.9,43.9,1
06/22/17,IL,Collinsville,-89.9,38.7,1
06/22/17,OH,Yellow Springs,-83.9,39.8,1
06/21/17,UT,Greenville,-112.9,38.2,1
06/21/17,MN,West Saint Paul,-93.1,44.9,1
06/20/17,MB,Valley River,-100.1,51.2,1
06/18/17,WI,Waukesha,-88.3,43,1
06/17/17,TX,Fair Oaks Ranch,-98.7,29.7,1
06/16/17,IN,Newburgh,-87.4,37.9,1
06/16/17,IN,Newburgh,-87.4,37.9,1
06/15/17,TX,Houston,-95.6,30,1
06/15/17,QC,St Adolphe d'Howard,-74.3,46,1
06/12/17,MI,Grosse Pointe,-82.9,42.4,1
06/11/17,NY,Canton,-75.2,44.6,1
06/11/17,TN,Townsend,-83.8,35.6,1
06/10/17,KY,Versailles,-84.8,38,1
06/10/17,PA,New Hope,-75,40.4,1
06/09/17,MI,Grosse Pointe,-82.9,42.4,1
06/08/17,NY,Indian Lake,-74.3,43.8,1
06/07/17,IL,Elk Grove Village,-88.1,42,1
06/07/17,OH,Columbus,-83,40,1
06/07/17,IN,Schererville,-87.4,41.5,1
06/07/17,TX,Houston,-95.6,30,1
06/07/17,OH,Orrville,-81.7,40.9,1
06/06/17,FL,Daytona Beach,-81,29.2,1
06/06/17,SD,Scotland,-97.7,43.1,1
06/06/17,MI,Grosse Pointe,-82.9,42.4,1
06/05/17,CT,Meriden,-72.8,41.5,1
06/05/17,MI,Grosse Pointe,-82.9,42.4,1
06/05/17,MI,Grosse Pointe,-82.9,42.4,1
06/04/17,ON,Orillia,-79.4,44.6,1
06/03/17,IN,Fremont,-84.8,41.7,1
06/03/17,ON,Stratford,-81,43.4,1
06/03/17,CO,Paonia,-107.6,38.8,1
06/03/17,MI,Grosse Pointe,-82.9,42.4,1
06/02/17,CT,Meriden,-72.8,41.5,1
06/02/17,NJ,Willingboro,-74.9,40,1
06/01/17,NY,Morrisonville,-73.6,44.6,1
06/01/17,PA,Hershey,-76.6,40.3,1
06/01/17,NJ,Cranford,-74.3,40.7,1
06/01/17,TX,Austin,-97.7,30.3,1
06/01/17,OH,Williamsburg,-84,39,1
05/31/17,OH,Williamsburg,-84.1,39.1,1
05/30/17,TN,Townsend,-83.8,35.6,1
05/30/17,VA,Hampton,-76.3,37.1,1
05/29/17,NC,Hillsborough,-79.1,36.1,1
05/29/17,OH,Cincinnati,-84.5,39.1,1
05/29/17,IA,Saint Charles,-93.9,41.3,1
05/29/17,TX,Silverton,-101.5,34.5,1
05/28/17,MO,Sedalia,-93.2,38.7,1
05/28/17,ON,Leamington,-82.6,42,1
05/28/17,NC,Raleigh,-78.7,35.7,1
05/28/17,NC,Hillsborough,-79,36.1,1
05/28/17,MI,Caseville,-83.2,44,1
05/27/17,NC,Hillsborough,-79,36.1,1
05/27/17,CA,Milford,-120.4,40.2,1
05/27/17,MT,Bozeman,-109.1,47.8,1
05/27/17,MI,Caseville,-83.3,43.9,1
05/26/17,NY,Morrisonville,-73.6,44.6,1
05/26/17,VA,Fairfax,-77.2,38.8,1
05/26/17,OH,Athens,-82.1,39.4,1
