Date,State,Town,Longitude,Latitude,Sighting
12/31/17,FL,Crawfordville,-84.4,30.2,30
12/30/17,TX,Hitchcock,-94.9,29.3,1
12/30/17,GA,Waycross,-82.4,31.2,2
12/30/17,FL,Crawfordville,-84.4,30.2,3
12/30/17,SC,Saint Helena Island,-80.4,32.4,2
12/30/17,GA,Riceboro,-81.2,31.6,6
12/29/17,FL,Fort Myers,-81.8,26.7,4
12/29/17,GA,Riceboro,-81.2,31.6,4
12/28/17,St Croix,Frederiksted,-64.9,17.7,2
12/28/17,GA,Riceboro,-81.2,31.6,4
12/27/17,FL,Oviedo,-81.1,28.6,11
12/27/17,NV,Henderson,-115,36,1
12/27/17,GA,Riceboro,-81.2,31.6,4
12/26/17,GA,Riceboro,-81.2,31.6,4
12/26/17,MI,,-100.3,19.6,1
12/25/17,TX,Corpus Christi,-97.4,27.8,1
12/25/17,GA,Riceboro,-81.2,31.6,4
12/24/17,TX,Houston,-95.1,29.6,3
12/24/17,LA,Chalmette,-89.9,29.9,1
12/24/17,CA,Long Beach,-118.2,33.8,6
12/24/17,NV,Laughlin,-114.6,35.1,1
12/24/17,FL,Ormond Beach,-81.1,29.3,1
12/23/17,FL,Ormond Beach,-81.1,29.3,1
12/23/17,HI,Hana,-156.1,20.7,1
12/23/17,FL,Satellite Beach,-80.6,28.2,1
12/22/17,FL,Crawfordville,-84.4,30.2,30
12/22/17,TX,Houston,-95.1,29.6,6
12/22/17,TX,Sugar Land,-95.7,29.6,2
12/22/17,NC,Avon,-75.5,35.4,1
12/21/17,TX,Sugar Land,-95.7,29.6,4
12/20/17,TX,Corpus Christi,-97.4,27.8,1
12/20/17,TX,Sugar Land,-95.7,29.6,1
12/20/17,NC,Avon,-75.5,35.4,1
12/20/17,GA,Riceboro,-81.2,31.6,4
12/19/17,FL,Cocoa,-80.8,28.4,1
12/19/17,GA,Waycross,-82.4,31.2,3
12/19/17,CA,Ragged point,-121.3,35.8,2
12/19/17,GA,Riceboro,-81.2,31.6,6
12/19/17,GA,Riceboro,-81.2,31.6,4
12/18/17,FL,Crawfordville,-84.4,30.2,15
12/18/17,GA,Riceboro,-81.2,31.6,4
12/17/17,GA,Waycross,-82.4,31.2,2
12/17/17,GA,Riceboro,-81.2,31.6,2
12/17/17,GA,Riceboro,-81.2,31.6,2
12/16/17,GA,Riceboro,-81.2,31.6,2
12/16/17,GA,Riceboro,-81.2,31.6,4
12/15/17,NC,Avon,-75.5,35.4,2
12/14/17,GA,Waycross,-82.4,31.2,1
12/14/17,FL,Crawfordville,-84.4,30.2,15
