Month,State,Town,Longitude,Latitude,Sighting
1,TX,Spring,-95.5,30,1
1,TX,San Antonio,-98.5,29.5,4
1,TX,San Antonio,-98.5,29.5,2
1,MIC,El Rosario Sanctuary,-100.3,19.7,1
1,LA,New Orleans,-90.1,30,4
1,CA,Big Sur,-121.6,36.2,1
1,CA,Pismo Beach,-120.7,35.2,19755
1,CA,Pacific Grove,-121.9,36.6,17100
1,CA,Morro Bay,-120.8,35.4,12189
1,CA,Santa Cruz,-122.2,37.1,12000
1,CA,Alder Rd vortex,-122.7,37.9,13375
1,CA,Arroyo Grande,-120.6,35.1,1000
1,FL,Saint Augustine,-81.2,29.7,1
1,FL,Fernandina Beach,-81.4,30.6,1
1,FL,Pierson,-81.5,29.2,1
1,GUA,Par?Ÿ?­cuaro,-100.8,20.1,5
1,CA,Los Angeles,-118.4,34.2,4
1,FL,Boca Raton,-80.1,26.4,1
1,AZ,Tucson,-111,32.2,1
1,TX,Victoria,-97,28.8,3
1,FL,Inverness,-82.4,28.7,1
1,TX,Rockport,-97,28,1
1,FL,Sarasota,-82.6,27.4,1
1,GUA,El Ranchito,-100.8,20,10
1,TX,Houston,-95.2,30.1,1
1,FL,South Daytona,-81,29.2,1
1,FL,Cocoa,-80.8,28.5,4
1,FL,Sarasota,-82.5,27.3,1
1,AZ,Parker,-114,34.3,2
1,FL,Naples,-81.7,26.1,4
1,TX,Corpus Christi,-97.4,27.8,1
1,CA,Mill Valley,-122.5,37.9,1
1,CA,Costa Mesa,-117.9,33.6,1
1,AL,Dauphin Island,-88.1,30.3,2
1,FL,Clearwater,-82.7,28,1
1,FL,Clearwater,-82.7,28,1
1,FL,Tallahassee,-84.3,30.5,1
1,SC,Mount Pleasant,-79.9,32.8,1
1,FL,Crystal River,-82.6,28.9,2
1,CA,Arroyo Grande,-120.6,35.1,2
1,SC,Mount Pleasant,-79.9,32.8,1
1,TX,Houston,-95.2,30.1,1
1,FL,Mount Dora,-81.6,28.8,2
1,FL,Palm Harbor,-82.7,28.1,1
1,FL,Niceville,-86.4,30.6,1
1,FL,Spring Hill,-82.6,28.5,1
1,FL,Pensacola Beach,-87.1,30.3,1
1,TX,Harlingen,-97.7,26.2,1
1,FL,Port St. Lucie,-80.4,27.3,1
1,FL,Windermere,-81.5,28.5,1
1,FL,Fort Walton Beach,-86.6,30.4,1
1,TX,San Antonio,-98.5,29.4,1
1,TX,League City,-95.1,29.5,2
1,FL,Key West,-81.8,24.6,1
1,FL,Largo,-82.8,27.9,1
1,FL,Venice,-82.4,27.1,1
1,FL,Arcadia,-82,27,1
1,TX,Harlingen,-97.7,26.2,1
1,TX,Houston,-95.6,29.7,1
1,TX,Houston,-95.6,29.7,1
1,FL,Naples,-81.8,26.1,1
