Date,State,Town,Longitude,Latitude,Sighting
12/25/17,CA,Woodland,-121.9,38.7,1
12/19/17,LA,Gretna,-90.1,29.9,1
12/18/17,LA,Gretna,-90.1,29.9,9
12/15/17,LA,Gretna,-90.1,29.9,7
12/03/17,TX,Port Lavaca,-96.8,28.4,3
11/30/17,CA,Long Beach,-118.1,33.8,4
11/25/17,TX,Spring,-95.5,30,3
11/18/17,TX,Sugar Land,-95.6,29.6,20
11/17/17,FL,Fort Walton Beach,-86.6,30.4,5
11/14/17,FL,Destin,-86.4,30.4,5
11/11/17,TX,Rosenberg,-95.7,29.5,1
11/07/17,FL,Destin,-86.4,30.4,4
11/05/17,TX,University Park,-96.8,32.8,3
11/05/17,TX,University Park,-96.8,32.8,16
11/05/17,TX,Jefferson,-94.3,32.9,3
11/04/17,TX,Cypress,-95.7,30,3
11/04/17,GUA,San Antonio de la Cueva,-100.2,21.4,14
11/03/17,FL,Fort Walton Beach,-86.6,30.4,10
11/01/17,FL,Destin,-86.4,30.4,14
10/31/17,CA,Petaluma,-122.6,38.2,5
10/31/17,FL,Miramar,-80.4,26,25
10/30/17,CA,Petaluma,-122.6,38.2,5
10/28/17,CA,Campbell,-122,37.3,3
10/27/17,TX,League City,-95.1,29.5,2
10/27/17,FL,Destin,-86.4,30.4,7
10/26/17,GA,Athens,-83.4,34,5
10/26/17,FL,Fernandina Beach,-81.5,30.7,10
10/26/17,FL,Apalachicola,-85.1,29.7,5
10/25/17,TX,Rosenberg,-95.7,29.5,8
10/25/17,CA,Petaluma,-122.6,38.2,3
10/24/17,NC,Huntersville,-80.8,35.4,6
10/22/17,CA,Petaluma,-122.6,38.2,7
10/19/17,CA,Petaluma,-122.6,38.2,4
10/19/17,TX,Sugar Land,-95.6,29.6,200
10/19/17,CA,Petaluma,-122.6,38.2,3
10/18/17,CA,Petaluma,-122.6,38.2,1
10/17/17,OK,Marlow,-98,34.6,20
10/17/17,FL,Largo,-82.8,27.9,5
10/16/17,LA,New Iberia,-91.8,30,10
10/15/17,FL,Jacksonville,-81.5,30.4,9
10/15/17,CA,Petaluma,-122.6,38.2,2
10/15/17,TX,Rockport,-96.9,28.2,10
10/14/17,FL,Ocala,-82.1,29.1,30
10/14/17,TX,Plano,-96.7,33,2
10/12/17,FL,Destin,-86.4,30.4,5
10/12/17,NY,Hudson,-73.8,42.3,1
10/11/17,KY,Smithfield,-85.3,38.4,50
10/11/17,TX,Dickinson,-95.1,29.5,2
10/11/17,TX,Pearland,-95.3,29.6,15
10/10/17,MS,Columbia,-89.8,31.3,20
10/09/17,TX,Dallas,-96.8,32.8,42
10/09/17,CA,san luis obispo,-120.7,35.3,2
10/09/17,AR,Hensley,-92.2,34.5,15
10/08/17,TX,Rosenberg,-95.7,29.5,1
10/08/17,TX,Pflugerville,-97.6,30.4,11
10/07/17,OK,Broken Arrow,-95.8,36,27
10/06/17,TX,League City,-95.1,29.5,3
10/06/17,OK,Broken Arrow,-95.8,36,6
10/05/17,TX,Rosenberg,-95.8,29.6,15
10/05/17,GUA,AcÃ¡mbaro,-100.7,20,40
10/05/17,TX,Abilene,-99.7,32.4,1
10/04/17,SC,Bluffton,-80.9,32.2,41
10/04/17,GA,Dalton,-84.9,34.8,44
10/03/17,TX,Rosenberg,-95.7,29.5,11
10/02/17,FL,Destin,-86.4,30.4,2
10/02/17,OK,Tulsa,-96,36.1,4
10/02/17,OK,Edmond,-97.5,35.7,1
10/02/17,CA,Petaluma,-122.6,38.2,8
10/02/17,OK,Tulsa,-95.9,36.2,1
10/02/17,TX,Dallas,-96.8,32.8,12
10/02/17,AR,Little Rock,-92.5,34.7,1
09/30/17,GA,Warner Robins,-83.7,32.6,100
09/30/17,OK,Edmond,-97.5,35.7,6
09/30/17,NC,Apex,-78.8,35.7,10
09/29/17,TX,Little Elm,-96.9,33.2,1
09/29/17,CA,Petaluma,-122.6,38.2,18
09/29/17,OK,Edmond,-97.5,35.7,3
09/29/17,NC,Apex,-78.8,35.7,13
09/28/17,VA,Virginia Beach,-76,36.8,5
09/28/17,FL,Boynton Beach,-80.1,26.5,40
09/28/17,TX,Spring,-95.5,30,4
09/28/17,NC,Jacksonville,-77.5,34.9,52
09/28/17,OK,Edmond,-97.5,35.7,19
09/28/17,FL,Destin,-86.4,30.4,3
09/27/17,TX,Little Elm,-96.9,33.2,3
09/25/17,OK,Tulsa,-96,36.2,2
