Date,State,Town,Longitude,Latitude,Sighting,Month
1/1/2017,TX,Spring,-95.5,30,30,1
1/3/2017,FL,Cocoa,-80.8,28.5,1,1
1/5/2017,FL,Clearwater,-82.8,28,26,1
1/6/2017,FL,Clearwater,-82.8,28,1,1
1/10/2017,GUA,El Ranchito,-100.8,20,5,1
1/12/2017,FL,Clearwater,-82.8,28,4,1
1/31/2017,FL,Wesley Chapel,-82.3,28.3,3,1
2/1/2017,FL,Clearwater,-82.8,28,5,2
2/1/2017,TX,Cypress,-95.7,30,3,2
2/3/2017,FL,Clearwater,-82.8,28,11,2
2/3/2017,FL,Miramar,-80.4,26,100,2
2/8/2017,FL,Fernandina Beach,-81.5,30.7,5,2
2/13/2017,GUA,SolÃ­s,-100.7,20,9,2
3/6/2017,GUA,El Ranchito,-100.8,20,4,3
3/8/2017,FL,Boynton Beach,-80.1,26.6,2,3
3/18/2017,CA,Lakeside,-116.9,32.8,1,3
3/21/2017,FL,Daytona Beach,-81,29.2,1,3
3/21/2017,TX,Katy,-95.8,29.8,2,3
3/22/2017,TX,Montgomery,-95.8,30.4,89,3
3/22/2017,TX,Montgomery,-95.8,30.4,1,3
3/22/2017,FL,Oldsmar,-82.7,28,1,3
3/24/2017,FL,Palm Beach Gardens,-80.1,26.8,20,3
3/25/2017,LA,Baton Rouge,-91.1,30.4,66,3
3/26/2017,TX,Driftwood,-98,30.1,1,3
3/26/2017,TX,Montgomery,-95.8,30.4,110,3
3/26/2017,TX,Vernon,-99.3,34.2,16,3
3/27/2017,TX,Montgomery,-95.8,30.4,26,3
3/27/2017,TX,Vernon,-99.3,34.2,56,3
3/29/2017,FL,Ormond Beach,-81.1,29.3,1,3
3/29/2017,TX,Wimberley,-98.2,30,16,3
4/1/2017,TX,Montgomery,-95.8,30.4,233,4
4/1/2017,FL,Orlando,-81.3,28.6,4,4
4/2/2017,TX,Houston,-95.6,30,51,4
4/2/2017,OK,Broken Arrow,-95.8,36,8,4
4/2/2017,TX,Houston,-95.6,30,51,4
4/3/2017,OK,Broken Arrow,-95.8,36,93,4
4/3/2017,CA,Glendora,-117.9,34.1,1,4
4/4/2017,TX,College Station,-96.3,30.6,1,4
4/4/2017,AR,Fayetteville,-94.2,36,1,4
4/4/2017,OK,Broken Arrow,-95.8,36,10,4
4/4/2017,OK,Duncan,-98,34.5,11,4
4/4/2017,TX,Waxahachie,-96.8,32.4,12,4
4/5/2017,TX,Boerne,-98.7,29.8,3,4
4/5/2017,OK,Broken Arrow,-95.8,36,25,4
4/5/2017,OK,Haskell,-95.7,35.8,1,4
4/6/2017,OK,Broken Arrow,-95.8,36,23,4
4/6/2017,OK,Haskell,-95.7,35.8,1,4
4/6/2017,OK,Broken Arrow,-95.8,36,43,4
4/7/2017,AR,Texarkana,-94,33.5,1,4
4/7/2017,OK,Broken Arrow,-95.8,36,42,4
4/7/2017,OK,Haskell,-95.7,35.8,4,4
4/8/2017,FL,Clearwater,-82.8,28,204,4
4/8/2017,FL,Clearwater,-82.8,28,76,4
4/8/2017,OK,Tulsa,-96,36.2,10,4
4/8/2017,OK,Haskell,-95.7,35.8,2,4
4/8/2017,OK,Broken Arrow,-95.8,36,12,4
4/8/2017,TX,Gainesville,-97.1,33.6,100,4
4/8/2017,OK,Broken Arrow,-95.8,36,71,4
4/8/2017,TX,Brownwood,-99,31.8,1,4
4/8/2017,TX,Cherokee,-98.7,31,3,4
4/9/2017,OK,Duncan,-98,34.5,8,4
4/9/2017,TX,Granbury,-97.8,32.5,39,4
4/9/2017,TX,Spring,-95.4,30.1,6,4
4/9/2017,OK,Edmond,-97.5,35.7,10,4
4/10/2017,TX,Rockwall,-96.5,32.9,5,4
4/10/2017,MO,Springfield,-93.3,37.2,1,4
4/10/2017,TX,Katy,-95.7,29.8,1,4
4/10/2017,OK,Norman,-97.5,35.2,2,4
4/10/2017,OK,Bartlesville,-95.9,36.7,1,4
4/10/2017,OK,Broken Arrow,-95.8,36,28,4
4/10/2017,OK,Tulsa,-95.9,36.1,1,4
4/10/2017,TX,Montgomery,-95.8,30.4,92,4
4/10/2017,TX,Dublin,-98.4,32,1,4
4/11/2017,FL,Saint Petersburg,-82.6,27.8,33,4
4/11/2017,OK,Bartlesville,-95.9,36.7,3,4
4/11/2017,NM,San Antonio,-106.9,33.8,2,4
4/11/2017,TX,Houston,-95.4,29.8,3,4
4/11/2017,OK,Tulsa,-96,36.2,2,4
4/11/2017,TN,Maryville,-84,35.7,35,4
4/11/2017,OK,Broken Arrow,-95.8,36,12,4
4/12/2017,AR,Little Rock,-92.3,34.6,16,4
4/12/2017,OK,Edmond,-97.5,35.7,1,4
4/12/2017,MO,St Charles,-90.6,38.7,1,4
4/12/2017,OK,Broken Arrow,-95.8,36,8,4
4/13/2017,KS,Shawnee,-94.8,39,27,4
4/13/2017,TX,Houston,-95.6,30,37,4
4/13/2017,MO,Kirkwood,-90.4,38.6,26,4
4/13/2017,OK,Broken Arrow,-95.8,36,15,4
4/13/2017,CA,Hawthorne,-118.4,33.9,6,4
4/13/2017,MO,saint Louis,-90.3,38.6,1,4
4/13/2017,TX,Dallas,-96.7,32.9,4,4
4/14/2017,OK,Enid,-97.9,36.4,10,4
4/14/2017,MO,Saint Joseph,-94.8,39.8,130,4
4/14/2017,NC,Gerton,-82.3,35.5,44,4
4/14/2017,OK,Broken Arrow,-95.8,36,26,4
4/14/2017,OK,Tulsa,-96,36.2,3,4
4/14/2017,MO,Kirkwood,-90.4,38.6,50,4
4/14/2017,MO,Parkville,-94.7,39.2,50,4
4/15/2017,IL,Urbana,-88.2,40.1,20,4
4/15/2017,OK,Edmond,-97.6,35.7,1,4
4/15/2017,OK,Edmond,-97.5,35.7,1,4
4/15/2017,MO,St. Louis,-90.4,38.6,100,4
4/15/2017,TX,Hye,-98.6,30.2,4,4
4/15/2017,FL,Wesley Chapel,-82.3,28.3,35,4
4/15/2017,KY,erlanger,-84.6,39,1,4
4/16/2017,TN,Nashville,-86.8,36.1,7,4
